CONTROL,HIGH,MEDIUM,LOW
0.864144196,2.283077923,-1.888023683,4.732425535
3.217814075,2.583478985,-2.290699223,2.573179051
2.240627711,2.368100475,-0.621652098,3.534782138
0.155241165,-4.622312494,3.686539708,1.78931044
-0.906430484,-2.868457878,3.76217833,2.749191305
-2.13999649,-4.620176218,4.992322323,3.120184817
-9.33590618,6.830549845,11.82409038,7.727570085
-3.653019068,6.308963871,8.892217327,6.941356309
-8.675080022,5.851560946,11.9864345,6.896096191
-0.432106137,-3.429943224,-4.900579632,3.866269263
0.739547118,-4.247312231,-0.371723075,3.366707462
-0.343979229,-6.455275424,-2.127523135,2.581000146
-7.418089266,3.996516562,-2.496459884,8.648274741
-8.216102182,3.096940715,0.902566969,8.118937443
-12.86723799,2.616957595,-1.349356502,10.8731527
0.737798035,0.032263477,9.160466081,-2.275730534
-2.093051655,-1.563957122,10.64183664,-2.698223662
-1.578980132,-2.807512847,11.09150669,-2.694087486
-5.991635345,4.537084435,1.185261342,5.192143432
-5.357585065,4.125992075,1.857438738,5.96303407
-4.391250575,3.976154214,1.456999638,5.412000229
0.126499904,2.462166262,1.717805865,-4.618105743
-0.37986734,2.548130575,1.942317115,-3.136929199
0.021840963,2.373540635,2.288429807,-3.16111993
-1.587320205,5.645787143,3.03644415,3.019118785
0.504523528,6.19651763,1.041510366,3.154374861
3.228565936,4.929176216,1.863207114,2.754867049
-1.896978791,6.412482505,9.123875041,-3.645849542
-1.494539254,8.964340069,7.394737001,-2.673481179
-2.623539038,8.638105029,4.822465473,-5.497727219
